title,detail,dueAt,isComplete
"Feed the fish","The fish is hungry so give him some food.","2026-05-14T04:00:00.000Z",true
"Wash my clothes","Need to wash all dirty clothes before Friday.","",false
"Buy groceries","Buy milk, eggs, bread, and vegetables.","",false
"Call mom","Call to catch up and discuss plans.","",false
"Review pull requests","Check and approve pending pull requests.","",false
"Update documentation","Update API documentation with new endpoints.","2026-07-07T04:00:00.000Z",false
"Fix bugs","Fix critical bugs reported by users.","",true
"Write tests","Write unit tests for new features.","",true
"Deploy application","Deploy latest version to production.","",false
"Backup database","Backup all important database records.","",true
"Schedule meeting","Schedule meeting with team leads.","2026-01-04T05:00:00.000Z",false
"Send email","Send follow-up email to clients.","",true
"Pay bills","Pay rent and utility bills.","",false
"Clean house","Deep clean the house.","",true
"Exercise","Go for a 30-minute jog or run.","",false
"Read book","Finish reading current book.","2026-09-23T04:00:00.000Z",true
"Learn new skill","Learn React or Vue.js fundamentals.","",false
"Organize files","Organize project files and folders.","",false
"Update resume","Update resume with recent projects.","",false
"Plan vacation","Book flights and hotel for vacation.","",false
"Water plants","Water indoor plants.","2026-12-07T05:00:00.000Z",false
"Walk the dog","Take dog for a walk in the park.","",true
"Prepare presentation","Create slides for presentation.","",true
"Code review","Review code for security issues.","",false
"Database migration","Migrate data to new database.","",true
"Feed the fish 1","","2026-02-09T05:00:00.000Z",false
"Wash my clothes 1","The fish is hungry so give him some food.","",false
"Buy groceries 1","Need to wash all dirty clothes before Friday.","",true
"Call mom 1","Buy milk, eggs, bread, and vegetables.","",false
"Review pull requests 1","Call to catch up and discuss plans.","",false
"Update documentation 1","Check and approve pending pull requests.","2026-04-05T04:00:00.000Z",true
"Fix bugs 1","Update API documentation with new endpoints.","",false
"Write tests 1","Fix critical bugs reported by users.","",true
"Deploy application 1","Write unit tests for new features.","",false
"Backup database 1","Deploy latest version to production.","",false
"Schedule meeting 1","Backup all important database records.","2026-10-01T04:00:00.000Z",false
"Send email 1","Schedule meeting with team leads.","",false
"Pay bills 1","Send follow-up email to clients.","",false
"Clean house 1","Pay rent and utility bills.","",false
"Exercise 1","Deep clean the house.","",true
"Read book 1","Go for a 30-minute jog or run.","2026-01-22T05:00:00.000Z",false
"Learn new skill 1","Finish reading current book.","",true
"Organize files 1","Learn React or Vue.js fundamentals.","",true
"Update resume 1","Organize project files and folders.","",true
"Plan vacation 1","Update resume with recent projects.","",false
"Water plants 1","Book flights and hotel for vacation.","2026-07-18T04:00:00.000Z",false
"Walk the dog 1","Water indoor plants.","",false
"Prepare presentation 1","Take dog for a walk in the park.","",false
"Code review 1","Create slides for presentation.","",false
"Database migration 1","Review code for security issues.","",false
"Feed the fish 2","Migrate data to new database.","2026-06-07T04:00:00.000Z",false
"Wash my clothes 2","","",false
"Buy groceries 2","The fish is hungry so give him some food.","",false
"Call mom 2","Need to wash all dirty clothes before Friday.","",false
"Review pull requests 2","Buy milk, eggs, bread, and vegetables.","",false
"Update documentation 2","Call to catch up and discuss plans.","2026-05-25T04:00:00.000Z",true
"Fix bugs 2","Check and approve pending pull requests.","",true
"Write tests 2","Update API documentation with new endpoints.","",false
"Deploy application 2","Fix critical bugs reported by users.","",false
